"","Var1","Freq"
"1","Angelique Kerber",426
"2","Dominic Thiem",89
"3","Elina Svitolina",646
"4","John Isner",1274
"5","Juan M. del Potro",290
"6","Karolina Pliskova",348
"7","Kei Nishikori",748
"8","Kevin Anderson",1190
"9","Kiki Bertens",192
"10","Marin Cilic",540
"11","Naomi Osaka",1110
"12","Novak Djokovic",1074
"13","Petra Kvitova",592
"14","Rafa Nadal",356
"15","Roger Federer",658
"16","Sabalenka Aryna",22
"17","Serena Williams",1412
"18","Simona Halep",258
"19","Sloane Stephens",339
"20","Stefanos Tsitsipas",775
